,cumOOI_index,kepid,prob0,prob1
2399,9475,3529290,0.0003493127983599253,0.9996506872016399
205,1361,11601584,0.0003493127983599253,0.9996506872016399
1297,5671,11705004,0.0003493127983599253,0.9996506872016399
336,1906,8804455,0.0003493127983599253,0.9996506872016399
318,1859,9517393,0.0003493127983599253,0.9996506872016399
148,1123,5031857,0.0003493127983599253,0.9996506872016399
2339,9217,10350571,0.0003493127983599253,0.9996506872016399
19,210,7678434,0.0003493127983599253,0.9996506872016399
110,873,4466677,0.0003493127983599253,0.9996506872016399
695,3350,8480285,0.0003493127983599253,0.9996506872016399
1174,4921,11551692,0.0003493127983599253,0.9996506872016399
212,1390,11253711,0.0003493127983599253,0.9996506872016399
347,1943,8505920,0.0003493127983599253,0.9996506872016399
620,2923,11568987,0.0003493127983599253,0.9996506872016399
12,153,5792202,0.0003493127983599253,0.9996506872016399
59,541,9605514,0.0003493127983599253,0.9996506872016399
58,540,9605514,0.0003493127983599253,0.9996506872016399
487,2433,10793172,0.0003493127983599253,0.9996506872016399
350,1951,11030475,0.0003493127983599253,0.9996506872016399
703,3390,5374854,0.0003493127983599253,0.9996506872016399
357,1969,4173026,0.0003493127983599253,0.9996506872016399
589,2802,8827575,0.0003493127983599253,0.9996506872016399
600,2850,10386922,0.0003493127983599253,0.9996506872016399
1060,4543,5965819,0.0003493127983599253,0.9996506872016399
521,2574,9475552,0.0003493127983599253,0.9996506872016399
74,645,10337517,0.0003493127983599253,0.9996506872016399
1803,6984,6975129,0.00038264613169325867,0.9996173538683065
735,3606,10875007,0.00038264613169325867,0.9996173538683065
359,1971,10471621,0.0004262358752830022,0.9995737641247168
615,2902,11566064,0.000483721400510463,0.9995162785994893
575,2765,9834731,0.0005044021583671496,0.9994955978416329
266,1660,6383785,0.0005044021583671496,0.9994955978416329
619,2918,12785320,0.0005278842269313538,0.9994721157730685
660,3155,5709725,0.0005479356501427085,0.9994520643498572
173,1229,5531953,0.0005765855256326523,0.9994234144743672
969,4312,5003670,0.0005803158378736029,0.9994196841621263
1299,5676,4947556,0.0006415734573782786,0.9993584265426216
657,3135,10973664,0.0006826461316932586,0.9993173538683066
404,2136,8022489,0.0007123561353179106,0.999287643864682
171,1226,5972334,0.000731674885639877,0.9992683251143601
92,751,11599038,0.0007339281829753104,0.9992660718170245
729,3578,6871071,0.000758887266445032,0.999241112733555
1322,5857,10005758,0.0008688461846510061,0.9991311538153489
1189,4975,11853878,0.0009147889888361162,0.9990852110111638
317,1856,3937519,0.0009402306470966209,0.9990597693529033
115,903,9150827,0.0009743127983599258,0.9990256872016399
387,2067,9896018,0.0009752244395342589,0.9990247755604656
93,758,8630788,0.0010582401240449453,0.9989417598759549
128,1004,4860678,0.001095785618343912,0.9989042143816559
2338,9215,9729691,0.001107582465038453,0.9988924175349614
833,3975,3645438,0.0011755692188424299,0.9988244307811575
184,1257,4770365,0.0011755692188424299,0.9988244307811575
808,3893,9936080,0.0013045639808294518,0.9986954360191704
582,2789,10252275,0.0013217067235576422,0.9986782932764423
1201,5000,5621333,0.0013567390671006246,0.9986432609328993
2160,8461,6436505,0.0013615658378736033,0.9986384341621263
1260,5311,4164922,0.0013615658378736033,0.9986384341621263
2349,9259,9092504,0.0013678769111501218,0.9986321230888496
349,1949,9006186,0.001390979465026592,0.9986090205349732
236,1516,10005758,0.0014407927929998513,0.9985592072070001
736,3607,10875007,0.0014807526047653451,0.9985192473952346
1329,5891,10587105,0.0014983447484831947,0.9985016552515167
340,1919,5978559,0.001517715869922928,0.998482284130077
258,1628,4851530,0.001560184603457814,0.9984398153965421
482,2417,4385148,0.0015929508248822375,0.9984070491751176
1143,4780,9785921,0.0016229789519664486,0.9983770210480333
483,2418,4385148,0.0016698739018053141,0.9983301260981945
1881,7238,7375348,0.0017094807100928448,0.9982905192899071
549,2679,11618601,0.0017100524204139778,0.9982899475795858
839,3987,9896018,0.0017223508763158678,0.9982776491236841
95,779,8678594,0.0017273111441002068,0.9982726888558996
89,740,10794087,0.0017400114151498614,0.9982599885848501
1901,7278,7219825,0.0018999624740220122,0.998100037525978
995,4390,5511659,0.001907553273910692,0.9980924467260891
477,2384,9837661,0.0019675623771372663,0.9980324376228625
160,1181,7939330,0.0020381174757559224,0.997961882524244
66,596,3247268,0.0021832170354240937,0.9978167829645757
381,2039,8838950,0.0021951752692223963,0.9978048247307776
262,1649,11074178,0.0022803558300560456,0.9977196441699437
1142,4779,11125797,0.002289078492485185,0.9977109215075146
628,2948,8558011,0.0023987751834277046,0.9976012248165721
62,551,10141900,0.002442587132385034,0.9975574128676149
136,1061,5219234,0.0024583800855659073,0.9975416199144338
406,2145,7183745,0.0025737647009505234,0.9974262352990492
675,3262,9703198,0.0026860965741347547,0.9973139034258655
374,2007,11852982,0.0027010845837270813,0.9972989154162731
393,2091,12156347,0.0027010845837270813,0.9972989154162731
412,2165,7879433,0.0027010845837270813,0.9972989154162731
399,2105,7294743,0.0027010845837270813,0.9972989154162731
376,2010,3122913,0.0027010845837270813,0.9972989154162731
379,2032,6867588,0.0027010845837270813,0.9972989154162731
371,2001,8894646,0.0027010845837270813,0.9972989154162731
394,2092,8636539,0.0027010845837270813,0.9972989154162731
407,2146,9177629,0.0027010845837270813,0.9972989154162731
1836,7080,5428657,0.0027010845837270813,0.9972989154162731
388,2069,11818872,0.0027010845837270813,0.9972989154162731
403,2124,4047631,0.0027010845837270813,0.9972989154162731
384,2062,8631504,0.0027010845837270813,0.9972989154162731
397,2102,9574158,0.0027010845837270813,0.9972989154162731
402,2116,5342061,0.0027010845837270813,0.9972989154162731
1833,7065,10200627,0.0027010845837270813,0.9972989154162731
1213,5038,8880123,0.0027010845837270813,0.9972989154162731
362,1984,8073806,0.0027010845837270813,0.9972989154162731
239,1524,11126381,0.0027010845837270813,0.9972989154162731
283,1730,5601258,0.0027010845837270813,0.9972989154162731
279,1725,4140813,0.0027010845837270813,0.9972989154162731
277,1717,1872821,0.0027010845837270813,0.9972989154162731
254,1604,3098810,0.0027010845837270813,0.9972989154162731
253,1598,7761918,0.0027010845837270813,0.9972989154162731
252,1596,8578780,0.0027010845837270813,0.9972989154162731
246,1567,4242147,0.0027010845837270813,0.9972989154162731
238,1521,3648437,0.0027010845837270813,0.9972989154162731
353,1956,5534941,0.0027010845837270813,0.9972989154162731
235,1509,5770074,0.0027010845837270813,0.9972989154162731
1998,7776,2970670,0.0027010845837270813,0.9972989154162731
230,1493,6061773,0.0027010845837270813,0.9972989154162731
228,1484,10074466,0.0027010845837270813,0.9972989154162731
227,1483,11297236,0.0027010845837270813,0.9972989154162731
226,1482,11570749,0.0027010845837270813,0.9972989154162731
225,1476,10134152,0.0027010845837270813,0.9972989154162731
284,1736,5716932,0.0027010845837270813,0.9972989154162731
286,1742,4857213,0.0027010845837270813,0.9972989154162731
290,1762,11462341,0.0027010845837270813,0.9972989154162731
291,1763,9405595,0.0027010845837270813,0.9972989154162731
344,1935,7120108,0.0027010845837270813,0.9972989154162731
343,1925,5705819,0.0027010845837270813,0.9972989154162731
338,1913,5005121,0.0027010845837270813,0.9972989154162731
333,1900,7097965,0.0027010845837270813,0.9972989154162731
419,2187,5174858,0.0027010845837270813,0.9972989154162731
312,1831,5342473,0.0027010845837270813,0.9972989154162731
307,1811,8321314,0.0027010845837270813,0.9972989154162731
306,1810,9580992,0.0027010845837270813,0.9972989154162731
304,1800,9086251,0.0027010845837270813,0.9972989154162731
302,1796,7987866,0.0027010845837270813,0.9972989154162731
301,1795,8410415,0.0027010845837270813,0.9972989154162731
300,1794,12121570,0.0027010845837270813,0.9972989154162731
298,1784,9661979,0.0027010845837270813,0.9972989154162731
297,1782,2161536,0.0027010845837270813,0.9972989154162731
292,1768,8494542,0.0027010845837270813,0.9972989154162731
327,1882,9472000,0.0027010845837270813,0.9972989154162731
