,cumOOI_index,kepid,prob0,prob1
1213,5038,8880123,4.188265913935618e-05,0.9999581173408607
471,2369,11874577,4.188265913935618e-05,0.9999581173408607
500,2482,5953297,4.188265913935618e-05,0.9999581173408607
502,2484,9472074,4.188265913935618e-05,0.9999581173408607
1205,5010,8121328,4.188265913935618e-05,0.9999581173408607
1204,5007,2849140,4.188265913935618e-05,0.9999581173408607
1203,5004,11810124,4.188265913935618e-05,0.9999581173408607
1201,5000,5621333,4.188265913935618e-05,0.9999581173408607
507,2508,8263545,4.188265913935618e-05,0.9999581173408607
508,2514,7899070,4.188265913935618e-05,0.9999581173408607
509,2517,7826659,4.188265913935618e-05,0.9999581173408607
1198,4989,7288444,4.188265913935618e-05,0.9999581173408607
1197,4988,8812045,4.188265913935618e-05,0.9999581173408607
512,2533,4846856,4.188265913935618e-05,0.9999581173408607
513,2537,10265602,4.188265913935618e-05,0.9999581173408607
514,2538,5369827,4.188265913935618e-05,0.9999581173408607
515,2545,6197215,4.188265913935618e-05,0.9999581173408607
516,2553,4552729,4.188265913935618e-05,0.9999581173408607
1191,4979,7772914,4.188265913935618e-05,0.9999581173408607
1190,4976,7692093,4.188265913935618e-05,0.9999581173408607
519,2566,5436338,4.188265913935618e-05,0.9999581173408607
499,2479,9958387,4.188265913935618e-05,0.9999581173408607
498,2477,5794570,4.188265913935618e-05,0.9999581173408607
1207,5026,8824737,4.188265913935618e-05,0.9999581173408607
483,2418,4385148,4.188265913935618e-05,0.9999581173408607
1227,5085,6058816,4.188265913935618e-05,0.9999581173408607
1222,5060,7517261,4.188265913935618e-05,0.9999581173408607
475,2379,6356692,4.188265913935618e-05,0.9999581173408607
476,2380,6026737,4.188265913935618e-05,0.9999581173408607
477,2384,9837661,4.188265913935618e-05,0.9999581173408607
1219,5056,9117416,4.188265913935618e-05,0.9999581173408607
1217,5054,9117416,4.188265913935618e-05,0.9999581173408607
481,2411,10604521,4.188265913935618e-05,0.9999581173408607
484,2421,8617363,4.188265913935618e-05,0.9999581173408607
496,2458,5980783,4.188265913935618e-05,0.9999581173408607
485,2428,7670943,4.188265913935618e-05,0.9999581173408607
486,2432,5905822,4.188265913935618e-05,0.9999581173408607
487,2433,10793172,4.188265913935618e-05,0.9999581173408607
488,2434,10793172,4.188265913935618e-05,0.9999581173408607
1216,5052,3745559,4.188265913935618e-05,0.9999581173408607
490,2439,10597693,4.188265913935618e-05,0.9999581173408607
492,2443,3346154,4.188265913935618e-05,0.9999581173408607
494,2454,5106313,4.188265913935618e-05,0.9999581173408607
1189,4975,11853878,4.188265913935618e-05,0.9999581173408607
521,2574,9475552,4.188265913935618e-05,0.9999581173408607
1188,4968,2975770,4.188265913935618e-05,0.9999581173408607
558,2703,3756264,4.188265913935618e-05,0.9999581173408607
549,2679,11618601,4.188265913935618e-05,0.9999581173408607
550,2685,12168993,4.188265913935618e-05,0.9999581173408607
551,2688,7700622,4.188265913935618e-05,0.9999581173408607
1170,4913,6200810,4.188265913935618e-05,0.9999581173408607
553,2693,7051180,4.188265913935618e-05,0.9999581173408607
555,2698,11137180,4.188265913935618e-05,0.9999581173408607
556,2700,5903749,4.188265913935618e-05,0.9999581173408607
1167,4895,5710069,4.188265913935618e-05,0.9999581173408607
1166,4893,3219037,4.188265913935618e-05,0.9999581173408607
547,2673,7364176,4.188265913935618e-05,0.9999581173408607
560,2709,8684730,4.188265913935618e-05,0.9999581173408607
1165,4892,7748487,4.188265913935618e-05,0.9999581173408607
562,2713,8554498,4.188265913935618e-05,0.9999581173408607
1164,4877,9664276,4.188265913935618e-05,0.9999581173408607
564,2722,2973386,4.188265913935618e-05,0.9999581173408607
1163,4876,6209677,4.188265913935618e-05,0.9999581173408607
567,2742,6593150,4.188265913935618e-05,0.9999581173408607
568,2745,6523351,4.188265913935618e-05,0.9999581173408607
1171,4915,3561464,4.188265913935618e-05,0.9999581173408607
545,2658,8241079,4.188265913935618e-05,0.9999581173408607
523,2577,11071200,4.188265913935618e-05,0.9999581173408607
532,2614,10190075,4.188265913935618e-05,0.9999581173408607
524,2578,11071200,4.188265913935618e-05,0.9999581173408607
525,2580,3545135,4.188265913935618e-05,0.9999581173408607
526,2582,6432345,4.188265913935618e-05,0.9999581173408607
1186,4958,11754430,4.188265913935618e-05,0.9999581173408607
1185,4957,7869917,4.188265913935618e-05,0.9999581173408607
1184,4954,10922659,4.188265913935618e-05,0.9999581173408607
530,2598,11076400,4.188265913935618e-05,0.9999581173408607
531,2599,7877978,4.188265913935618e-05,0.9999581173408607
533,2618,10749059,4.188265913935618e-05,0.9999581173408607
543,2646,6291837,4.188265913935618e-05,0.9999581173408607
534,2622,9020114,4.188265913935618e-05,0.9999581173408607
535,2624,7668416,4.188265913935618e-05,0.9999581173408607
1181,4945,5213230,4.188265913935618e-05,0.9999581173408607
1180,4944,8905246,4.188265913935618e-05,0.9999581173408607
