,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0,koi_eccen,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_ldm_coeff2,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_num_transits,koi_tce_plnt_num,koi_quarters,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky,ENC_LS,ENC_LS+MCMC,ENC_MCMC,ENC_none
2,0.0,0.0,0.0,0.0,19.89913995,2455008.85,0.0,0.9690000000000001,1.7822,10800.0,0.15404600000000002,7.29555,14.6,0.1419,88.96,638.0,39.3,53.5,0.2711,0.3858,37.159766999999995,187.4491,76.3,56.0,1.0,1.11111e+31,0.6624,5853.0,4.544,-0.18,0.868,0.961,297.00482,48.134128999999994,15.436,15.943,15.39,15.22,15.165999999999999,14.254000000000001,13.9,13.825999999999999,0.278,19.8003207,48.13412,-0.021,-0.038,0.0007,0.0006,-0.025,-0.034,0.042,0.002,-0.027000000000000003,0.027000000000000003,0.0,1.0,0.0,0.0
37,0.0,0.0,0.0,0.0,4.959319244,2455005.259,0.0,0.831,2.22739,9800.0,0.103379,1.46169,12.21,0.0565,86.15,1103.0,349.4,12.386,0.2602,0.4096,58.76474399999999,670.4895,696.5,269.0,1.0,1.11111e+31,0.0517,5712.0,4.359,0.1,1.082,0.976,292.16705,48.727589,15.263,15.715,15.209000000000001,15.069,15.040999999999999,14.123,13.815,13.805,0.705,19.47780401,48.7275662,0.0,-0.086,0.00011,-7e-05,-0.018000000000000002,0.012,0.022000000000000002,-0.021,-0.077,0.08,0.0,1.0,0.0,0.0
58,0.0,0.0,0.0,0.0,40.4195037,2455006.565,0.0,0.9109999999999999,3.362,6260.0,0.08806900000000001,1.8954900000000001,7.51,0.2062,89.05,467.0,11.29,54.7,0.2665,0.39799999999999996,22.598503,94.071846,36.9,36.0,1.0,1.11111e+31,0.8482,5446.0,4.507,-0.54,0.7809999999999999,0.7140000000000001,294.31686,50.080231,15.487,16.1,15.463,15.224,15.091,14.029000000000002,13.630999999999998,13.491,0.027000000000000003,19.621126699999998,50.080315999999996,0.09,0.31,0.0006,-0.0011,-0.025,0.051,0.057,-0.049,-0.021,0.053,0.0,1.0,0.0,0.0
62,0.0,0.0,0.0,0.0,7.240661200000001,2454970.755,0.0,1.198,0.5579999999999999,556.0,0.232818,8.66412,19.45,0.0692,87.62,734.0,68.63,28.8,0.1496,0.5746,3.2751372,9.1666,13.7,168.0,2.0,1.11111e+31,0.4049,5005.0,4.595,0.14,0.765,0.85,293.83331,50.23035,15.334000000000001,16.11,15.283,15.001,14.882,13.81,13.3,13.195,0.057999999999999996,19.588885,50.22996,-0.1,-1.4,0.00016,0.00075,-0.51,-0.49,0.71,0.08,-0.38,0.39,0.0,1.0,0.0,0.0
63,0.0,0.0,0.0,0.0,3.43591631,2454965.662,0.0,0.624,3.133,23.2,0.004612,0.47024,0.55,0.0437,84.62,1272.0,617.61,6.65,0.2676,0.3928,3.8943021,7.4337807,8.7,357.0,3.0,1.11111e+31,0.0228,5779.0,4.3389999999999995,-0.06,1.087,0.941,287.88732999999996,46.276241,12.790999999999999,13.110999999999999,12.732000000000001,12.654000000000002,12.648,11.811,11.555,11.503,0.858,19.192473,46.27616,-0.6,-0.3,1.2e-05,-3e-06,0.01,-0.05,0.05,-0.11,-0.3,0.3,0.0,1.0,0.0,0.0
84,0.0,0.0,0.0,0.0,10.181583999999999,2455010.142,0.0,0.92,3.5089,5740.0,0.084708,0.38059,7.73,0.0884,85.87,812.0,102.91,12.776,0.2979,0.3238,27.099031,173.09894,183.6,129.0,1.0,1.11111e+30,0.5397,5988.0,4.541,-0.52,0.836,0.885,291.28195,38.241669,15.657,16.162,15.620999999999999,15.440999999999999,15.32,14.408,14.036,13.939,0.021,19.4187924,38.241642999999996,-0.151,-0.099,0.0008,-0.0003,0.004,0.008,0.009000000000000001,-0.062,0.06,0.087,0.0,1.0,0.0,0.0
92,0.0,0.0,0.0,0.0,19.62034692,2455014.8819999998,0.0,0.45799999999999996,2.0038,21700.0,0.137595,23.21659,13.6,0.1389,89.66,643.0,40.39,77.9,0.2676,0.3928,73.60154,353.8584,340.5,52.0,1.0,1.1111e+31,0.3063,5710.0,4.492,-0.1,0.905,0.9279999999999999,293.81619,38.563568,15.562000000000001,16.07,15.519,15.344000000000001,15.269,14.364,13.995999999999999,13.894,0.0,19.58774067,38.5634145,-0.225,-0.56,-0.0108,-0.0133,0.6559999999999999,0.634,0.9129999999999999,0.055999999999999994,0.057,0.08,0.0,1.0,0.0,0.0
94,0.0,0.0,0.0,0.0,9.02930689,2455010.204,0.0,0.024,3.1449,1020.0,0.028718,2.66613,2.57,0.0796,89.94,757.0,77.75,22.57,0.2043,0.4966,7.6108649999999995,47.37303,53.9,146.0,1.0,1.11111e+31,0.894,5349.0,4.526,-0.12,0.82,0.8240000000000001,290.33362,38.728229999999996,15.387,16.037,15.302,15.107999999999999,14.931,13.931,13.479000000000001,13.429,0.09699999999999999,19.355566699999997,38.728308,-0.36,0.28,-0.00037999999999999997,-5.9999999999999995e-05,0.23,0.18,0.29,-0.08,0.29,0.3,0.0,1.0,0.0,0.0
103,0.0,0.0,0.0,0.0,4.783002698,2455003.508,0.0,0.003,2.335,1010.0,0.028314999999999996,3.45234,2.5,0.0535,89.99,886.0,145.48,16.102,0.18600000000000003,0.5256,7.2522210000000005,57.63823299999999,70.6,281.0,1.0,1.11111e+31,0.5746,5170.0,4.574,0.18,0.807,0.8909999999999999,287.09398999999996,39.060719,15.119000000000002,15.847000000000001,15.037,14.808,14.681,13.642999999999999,13.232000000000001,13.203,0.282,19.1396047,39.060762,0.2,0.15,-0.00022,2e-05,0.034,0.001,0.034,0.057999999999999996,0.239,0.25,0.0,1.0,0.0,0.0
112,0.0,0.0,0.0,0.0,34.84398644,2455005.633,0.0,0.934,2.9315,4520.0,0.080046,1.86832,7.61,0.1971,88.92,511.0,16.1,49.31,0.2434,0.4341,15.928789000000002,75.6448,76.8,40.0,1.0,1.11111e+31,0.1475,5509.0,4.482,-0.16,0.871,0.84,285.92001,39.624828,15.684000000000001,16.307000000000002,15.645999999999999,15.417,15.322000000000001,14.363,13.96,13.875,0.13,19.061339,39.624775,0.24,-0.2,-0.0012,-0.0001,0.07400000000000001,0.004,0.07400000000000001,-0.003,-0.271,0.271,0.0,1.0,0.0,0.0
